sr3-rtx complete frame dump - every DrawIndexedPrimitive in submission order
frame 1227, camera (96.3 147.7 36.1)
disposition: CONVERT = re-issued as fixed function and path-traced
             HIDE    = still drawn, given an ortho projection so Remix ignores it
             PASS    = untouched; Remix reconstructs it from shader output


=== RENDER TARGET 14D87A30  1280x720 fmt=34 ===
    6 CONVERT v=17601  p=494    zw=1 zt=1 blend=1 cw=0xf | vs[proj][   ][    ] ps='Diffuse_MapSampler' rank=100 | tex0=3F2388D0 inst=1
    7 PASS    v=17601  p=572    zw=1 zt=1 blend=1 cw=0xf | vs[proj][   ][    ] ps='Normal_MapSampler' rank=0 | tex0=41BFB130 inst=1
    8 PASS    v=17601  p=92     zw=1 zt=1 blend=1 cw=0xf | vs[proj][   ][    ] ps='Normal_MapSampler' rank=0 | tex0=41BFBAD0 inst=1
    9 PASS    v=17601  p=75     zw=1 zt=1 blend=1 cw=0xf | vs[proj][   ][    ] ps='Normal_MapSampler' rank=0 | tex0=47E61E90 inst=1
   10 PASS    v=17601  p=73     zw=1 zt=1 blend=1 cw=0xf | vs[proj][   ][    ] ps='Normal_MapSampler' rank=0 | tex0=47E61CD0 inst=1
   11 PASS    v=17601  p=308    zw=1 zt=1 blend=1 cw=0xf | vs[proj][   ][    ] ps='Normal_MapSampler' rank=0 | tex0=44F0D950 inst=1
   12 PASS    v=17601  p=947    zw=1 zt=1 blend=1 cw=0xf | vs[proj][   ][    ] ps='Normal_MapSampler' rank=0 | tex0=44F0D950 inst=1
   13 PASS    v=17601  p=323    zw=1 zt=1 blend=1 cw=0xf | vs[proj][   ][    ] ps='Normal_MapSampler' rank=0 | tex0=47E60B50 inst=1
   14 PASS    v=17601  p=38     zw=1 zt=1 blend=1 cw=0xf | vs[proj][   ][    ] ps='Normal_MapSampler' rank=0 | tex0=44EFED10 inst=1
   15 PASS    v=17601  p=52     zw=1 zt=1 blend=1 cw=0xf | vs[proj][   ][    ] ps='Normal_MapSampler' rank=0 | tex0=47E61BF0 inst=1
   16 PASS    v=17601  p=319    zw=1 zt=1 blend=1 cw=0xf | vs[proj][   ][    ] ps='Normal_MapSampler' rank=0 | tex0=47E60ED0 inst=1
   17 PASS    v=35877  p=108    zw=1 zt=1 blend=1 cw=0xf | vs[proj][   ][    ] ps='Normal_MapSampler' rank=0 | tex0=44F1D0F0 inst=1
   18 PASS    v=1369   p=30     zw=1 zt=1 blend=1 cw=0xf | vs[proj][   ][    ] ps='Normal_MapSampler' rank=0 | tex0=44F1D0F0 inst=1
   19 PASS    v=17601  p=20     zw=1 zt=1 blend=1 cw=0xf | vs[proj][   ][    ] ps='Normal_MapSampler' rank=0 | tex0=47E61410 inst=1
   20 PASS    v=17601  p=36     zw=1 zt=1 blend=1 cw=0xf | vs[proj][   ][    ] ps='Normal_MapSampler' rank=0 | tex0=41BFB670 inst=1
   21 PASS    v=17601  p=1022   zw=1 zt=1 blend=1 cw=0xf | vs[proj][   ][    ] ps='Normal_MapSampler' rank=0 | tex0=41BFD6D0 inst=1
   22 PASS    v=770    p=71     zw=1 zt=1 blend=1 cw=0xf | vs[proj][   ][    ] ps='Normal_MapSampler' rank=0 | tex0=41BFAF70 inst=1
